#SampleID	Digit	Hand	Keysize	Key	Source	Individual	Spacebar	SpacebarSex	Typingdigit	Handkey	TypingHand	TypingHandSource	TypingHandIndiv	TypingHandSourceIndiv	UseFreq	Description
Female2Space	NA	NA	Large	Space	Key	NA	Private	Female	NA	NA	NA	NA	NA	NA	NA	"Female, personal keyboard spacebar"
RKkeyLeftShift	NA	NA	Medium	LeftShift	Key	RK	NA	NA	Pi	Left	PiLeft	PiLeftKey	PiLeftRK	PiLeftKeyRK	NA	"Robk.key, shift-left"
Blank1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Extractionblank
Blank2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Extractionblank
Blank3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Extractionblank
RKPinkyL	Pinky	Left	NA	NA	Fing	RK	NA	NA	Pi	Left	PiLeft	PiLeftFing	PiLeftRK	PiLeftFingRK	NA	Robk.pinky-left
NFkeySpace	NA	NA	Large	Space	Key	NF	Private	Male	Th	Mixed	ThMixed	ThMixedKey	ThMixedNF	ThMixedKeyNF	NA	"Noahf.key, spacebar"
RKPinkyR	Pinky	Right	NA	NA	Fing	RK	NA	NA	Pi	Right	PiRight	PiRightFing	PiRightRK	PiRightFingRK	NA	Robk.pinky-right
RKkeyM	NA	NA	Small	M	Key	RK	NA	NA	In	Right	InRight	InRightKey	InRightRK	InRightKeyRK	2to6	"Robk.key, m"
UMC3Space	NA	NA	Large	Space	Key	NA	Public	Mixed	NA	NA	NA	NA	NA	NA	NA	"Umc, public keyboard spacebar"
NFIndexR	Index	Right	NA	NA	Fing	NF	NA	NA	In	Right	InRight	InRightFing	InRightNF	InRightFingNF	NA	Noahf.index-right
NFThumbL	Thumb	Left	NA	NA	Fing	NF	NA	NA	Th	Left	ThLeft	ThLeftFing	ThLeftNF	ThLeftFingNF	NA	Noahf.thumb-left
NFIndexL	Index	Left	NA	NA	Fing	NF	NA	NA	In	Left	InLeft	InLeftFing	InLeftNF	InLeftFingNF	NA	Noahf.index-left
RKkeyX	NA	NA	Small	X	Key	RK	NA	NA	Ri	Left	RiLeft	RiLeftKey	RiLeftRK	RiLeftKeyRK	1minus	"Robk.key, x"
RKkeyY	NA	NA	Small	Y	Key	RK	NA	NA	In	Right	InRight	InRightKey	InRightRK	InRightKeyRK	1to2	"Robk.key, y"
RKkeyZ	NA	NA	Small	Z	Key	RK	NA	NA	Pi	Left	PiLeft	PiLeftKey	PiLeftRK	PiLeftKeyRK	1minus	"Robk.key, z"
NTC4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Notemplatecontrol
RKIndexR	Index	Right	NA	NA	Fing	RK	NA	NA	In	Right	InRight	InRightFing	InRightRK	InRightFingRK	NA	Robk.index-right
RKkeyP	NA	NA	Small	P	Key	RK	NA	NA	Pi	Right	PiRight	PiRightKey	PiRightRK	PiRightKeyRK	1to2	"Robk.key, p"
RKkeyQ	NA	NA	Small	Q	Key	RK	NA	NA	Pi	Left	PiLeft	PiLeftKey	PiLeftRK	PiLeftKeyRK	1minus	"Robk.key, q"
RKkeyR	NA	NA	Small	R	Key	RK	NA	NA	In	Left	InLeft	InLeftKey	InLeftRK	InLeftKeyRK	6to7	"Robk.key, r"
RKkeyS	NA	NA	Small	S	Key	RK	NA	NA	Ri	Left	RiLeft	RiLeftKey	RiLeftRK	RiLeftKeyRK	6to7	"Robk.key, s"
RKkeyT	NA	NA	Small	T	Key	RK	NA	NA	In	Left	InLeft	InLeftKey	InLeftRK	InLeftKeyRK	7plus	"Robk.key, t"
RKkeyU	NA	NA	Small	U	Key	RK	NA	NA	In	Right	InRight	InRightKey	InRightRK	InRightKeyRK	2to6	"Robk.key, u"
RKkeyV	NA	NA	Small	V	Key	RK	NA	NA	In	Left	InLeft	InLeftKey	InLeftRK	InLeftKeyRK	1to2	"Robk.key, v"
RKkeyW	NA	NA	Small	W	Key	RK	NA	NA	Ri	Left	RiLeft	RiLeftKey	RiLeftRK	RiLeftKeyRK	2to6	"Robk.key, w"
RKkeyH	NA	NA	Small	H	Key	RK	NA	NA	In	Right	InRight	InRightKey	InRightRK	InRightKeyRK	6to7	"Robk.key, h"
RKkeyI	NA	NA	Small	I	Key	RK	NA	NA	Mi	Right	MiRight	MiRightKey	MiRightRK	MiRightKeyRK	6to7	"Robk.key, i"
RKkeyJ	NA	NA	Small	J	Key	RK	NA	NA	In	Right	InRight	InRightKey	InRightRK	InRightKeyRK	1minus	"Robk.key, j"
RKkeyK	NA	NA	Small	K	Key	RK	NA	NA	Mi	Right	MiRight	MiRightKey	MiRightRK	MiRightKeyRK	1minus	"Robk.key, k"
RKkeyL	NA	NA	Small	L	Key	RK	NA	NA	Ri	Right	RiRight	RiRightKey	RiRightRK	RiRightKeyRK	2to6	"Robk.key, l"
DMkeyR	NA	NA	Small	R	Key	DM	NA	NA	In	Left	InLeft	InLeftKey	InLeftDM	InLeftKeyDM	6to7	"Danielm.key, r"
RKkeyN	NA	NA	Small	N	Key	RK	NA	NA	In	Right	InRight	InRightKey	InRightRK	InRightKeyRK	6to7	"Robk.key, n"
